conversation_group_id,turn_id,metric_identifier,score,threshold,result,reason,query
catalog-list-all,list_all,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Retrieve all entries in the Backstage Catalog
catalog-filter-kind-component,filter_component,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Show me all Components in the catalog
catalog-filter-kind-component,filter_component,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Show me all Components in the catalog
catalog-filter-kind-component,filter_component,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Show me all Components in the catalog
catalog-filter-kind-group,filter_group,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Show me all Groups in the catalog
catalog-filter-kind-group,filter_group,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Show me all Groups in the catalog
catalog-filter-kind-group,filter_group,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Show me all Groups in the catalog
catalog-filter-kind-system,filter_system,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Show me all Systems in the catalog
catalog-filter-kind-system,filter_system,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Show me all Systems in the catalog
catalog-filter-kind-system,filter_system,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Show me all Systems in the catalog
catalog-filter-tags-payments,filter_tags,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Show catalog entities tagged with payments
catalog-filter-tags-payments,filter_tags,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Show catalog entities tagged with payments
catalog-filter-tags-payments,filter_tags,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Show catalog entities tagged with payments
catalog-filter-owner-payments-team,filter_owner,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Find catalog entities owned by payments-team. Call query-catalog-entities with owner set to a value containing payments-team.
catalog-filter-owner-payments-team,filter_owner,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Find catalog entities owned by payments-team. Call query-catalog-entities with owner set to a value containing payments-team.
catalog-filter-owner-payments-team,filter_owner,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Find catalog entities owned by payments-team. Call query-catalog-entities with owner set to a value containing payments-team.
catalog-filter-owner-security-team,filter_owner,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Find catalog entities owned by security-team. Call query-catalog-entities with owner set to a value containing security-team.
catalog-filter-owner-security-team,filter_owner,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Find catalog entities owned by security-team. Call query-catalog-entities with owner set to a value containing security-team.
catalog-filter-owner-security-team,filter_owner,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Find catalog entities owned by security-team. Call query-catalog-entities with owner set to a value containing security-team.
catalog-filter-owner-compliance-team,filter_owner,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Find catalog entities owned by compliance-team. Call query-catalog-entities with owner set to a value containing compliance-team.
catalog-filter-owner-compliance-team,filter_owner,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Find catalog entities owned by compliance-team. Call query-catalog-entities with owner set to a value containing compliance-team.
catalog-filter-owner-compliance-team,filter_owner,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Find catalog entities owned by compliance-team. Call query-catalog-entities with owner set to a value containing compliance-team.
techdocs-coverage-owner-accounts-team,coverage_owner,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Analyze TechDocs coverage for entities owned by accounts-team
techdocs-coverage-owner-accounts-team,coverage_owner,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Analyze TechDocs coverage for entities owned by accounts-team
techdocs-coverage-owner-accounts-team,coverage_owner,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Analyze TechDocs coverage for entities owned by accounts-team
catalog-get-entity-consent-management-api,get_entity,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Get the catalog entity named consent-management-api
catalog-get-entity-consent-management-api,get_entity,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Get the catalog entity named consent-management-api
catalog-get-entity-consent-management-api,get_entity,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Get the catalog entity named consent-management-api
catalog-get-entity-beneficiary-management-api,get_entity,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Get the catalog entity named beneficiary-management-api
catalog-get-entity-beneficiary-management-api,get_entity,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Get the catalog entity named beneficiary-management-api
catalog-get-entity-beneficiary-management-api,get_entity,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Get the catalog entity named beneficiary-management-api
scaffolder-write-validate-1,validate_minimal,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty","Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (variant 1):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
scaffolder-write-validate-1,validate_minimal,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,"Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (variant 1):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
scaffolder-write-validate-1,validate_minimal,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,"Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (variant 1):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
catalog-filter-owner-open-banking-team,filter_owner,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Find catalog entities owned by open-banking-team. Call query-catalog-entities with owner set to a value containing open-banking-team.
catalog-filter-owner-open-banking-team,filter_owner,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Find catalog entities owned by open-banking-team. Call query-catalog-entities with owner set to a value containing open-banking-team.
catalog-filter-owner-open-banking-team,filter_owner,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Find catalog entities owned by open-banking-team. Call query-catalog-entities with owner set to a value containing open-banking-team.
scaffolder-write-validate-3,validate_minimal,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty","Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (variant 3):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
scaffolder-write-validate-3,validate_minimal,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,"Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (variant 3):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
scaffolder-write-validate-3,validate_minimal,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,"Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (variant 3):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
catalog-get-entity-standing-orders-api,get_entity,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Get the catalog entity named standing-orders-api
catalog-get-entity-standing-orders-api,get_entity,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Get the catalog entity named standing-orders-api
catalog-get-entity-standing-orders-api,get_entity,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Get the catalog entity named standing-orders-api
scaffolder-list-tasks,list_tasks,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Show recent scaffolder tasks
scaffolder-list-tasks,list_tasks,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Show recent scaffolder tasks
scaffolder-list-tasks,list_tasks,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Show recent scaffolder tasks
scaffolder-write-validate-5,validate_minimal,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty","Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (variant 5):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
scaffolder-write-validate-5,validate_minimal,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,"Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (variant 5):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
scaffolder-write-validate-5,validate_minimal,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,"Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (variant 5):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
techdocs-coverage-owner-payments-team,coverage_owner,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Analyze TechDocs coverage for entities owned by payments-team
techdocs-coverage-owner-payments-team,coverage_owner,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Analyze TechDocs coverage for entities owned by payments-team
techdocs-coverage-owner-payments-team,coverage_owner,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Analyze TechDocs coverage for entities owned by payments-team
multi-apis-then-owner-entities-payments-team,apis_then_owner,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty","First list all APIs in the catalog, then find all catalog entities owned by payments-team"
multi-apis-then-owner-entities-payments-team,apis_then_owner,custom:answer_correctness,0.5,0.75,FAIL,Max of 2 judges: 0.500,"First list all APIs in the catalog, then find all catalog entities owned by payments-team"
multi-apis-then-owner-entities-payments-team,apis_then_owner,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,"First list all APIs in the catalog, then find all catalog entities owned by payments-team"
catalog-get-entity-transaction-history-api,get_entity,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Get the catalog entity named transaction-history-api
catalog-get-entity-transaction-history-api,get_entity,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Get the catalog entity named transaction-history-api
catalog-get-entity-transaction-history-api,get_entity,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Get the catalog entity named transaction-history-api
scaffolder-write-validate-4,validate_minimal,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty","Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (variant 4):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
scaffolder-write-validate-4,validate_minimal,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,"Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (variant 4):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
scaffolder-write-validate-4,validate_minimal,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,"Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (variant 4):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
scaffolder-write-validate-2,validate_minimal,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty","Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (variant 2):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
scaffolder-write-validate-2,validate_minimal,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,"Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (variant 2):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
scaffolder-write-validate-2,validate_minimal,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,"Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (variant 2):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
catalog-filter-owner-accounts-team,filter_owner,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Find catalog entities owned by accounts-team. Call query-catalog-entities with owner set to a value containing accounts-team.
catalog-filter-owner-accounts-team,filter_owner,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Find catalog entities owned by accounts-team. Call query-catalog-entities with owner set to a value containing accounts-team.
catalog-filter-owner-accounts-team,filter_owner,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Find catalog entities owned by accounts-team. Call query-catalog-entities with owner set to a value containing accounts-team.
catalog-filter-component-website,filter_kind_type,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Find Components of type website in the catalog
catalog-filter-component-website,filter_kind_type,custom:answer_correctness,0.6,0.75,FAIL,Max of 2 judges: 0.600,Find Components of type website in the catalog
catalog-filter-component-website,filter_kind_type,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Find Components of type website in the catalog
catalog-get-entity-account-access-api,get_entity,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Get the catalog entity named account-access-api
catalog-get-entity-account-access-api,get_entity,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Get the catalog entity named account-access-api
catalog-get-entity-account-access-api,get_entity,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Get the catalog entity named account-access-api
multi-apis-then-owner-entities-security-team,apis_then_owner,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty","First list all APIs in the catalog, then find all catalog entities owned by security-team"
multi-apis-then-owner-entities-security-team,apis_then_owner,custom:answer_correctness,0.5,0.75,FAIL,Max of 2 judges: 0.500,"First list all APIs in the catalog, then find all catalog entities owned by security-team"
multi-apis-then-owner-entities-security-team,apis_then_owner,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,"First list all APIs in the catalog, then find all catalog entities owned by security-team"
techdocs-fetch-system,fetch_typed,custom:tool_eval,1.0,,PASS,Max of 2 judges: 1.000,List TechDocs for System entities only
techdocs-fetch-system,fetch_typed,custom:answer_correctness,0.9,0.75,PASS,Max of 2 judges: 0.900,List TechDocs for System entities only
techdocs-fetch-system,fetch_typed,ragas:faithfulness,0.0,0.8,FAIL,Max of 2 judges: 0.000,List TechDocs for System entities only
multi-apis-then-owner-entities-accounts-team,apis_then_owner,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty","First list all APIs in the catalog, then find all catalog entities owned by accounts-team"
multi-apis-then-owner-entities-accounts-team,apis_then_owner,custom:answer_correctness,0.5,0.75,FAIL,Max of 2 judges: 0.500,"First list all APIs in the catalog, then find all catalog entities owned by accounts-team"
multi-apis-then-owner-entities-accounts-team,apis_then_owner,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,"First list all APIs in the catalog, then find all catalog entities owned by accounts-team"
catalog-get-entity-balance-check-api,get_entity,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Get the catalog entity named balance-check-api
catalog-get-entity-balance-check-api,get_entity,custom:answer_correctness,0.8,0.75,PASS,Max of 2 judges: 0.800,Get the catalog entity named balance-check-api
catalog-get-entity-balance-check-api,get_entity,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Get the catalog entity named balance-check-api
catalog-get-entity-payment-initiation-api,get_entity,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Get the catalog entity named payment-initiation-api
catalog-get-entity-payment-initiation-api,get_entity,custom:answer_correctness,1.0,0.75,PASS,Max of 2 judges: 1.000,Get the catalog entity named payment-initiation-api
catalog-get-entity-payment-initiation-api,get_entity,ragas:faithfulness,,,ERROR,Metric 'ragas:faithfulness' requires 'response' and 'contexts' fields: required field 'contexts' is missing or empty,Get the catalog entity named payment-initiation-api
catalog-get-entity-webhook-notifications-api,get_entity,custom:tool_eval,,,ERROR,"Metric 'custom:tool_eval' requires 'tool_calls' and 'expected_tool_calls' fields with 'tool_name', 'arguments', and optional 'result': required field 'tool_calls' is missing or empty",Get the catalog entity named webhook-notifications-api
