conversation_group_id,turn_id,metric_identifier,score,threshold,result,reason,query
catalog-filter-tags,filter_tags,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",Show catalog entities tagged with payments
catalog-filter-tags,filter_tags,custom:intent_eval,1.0,1.0,PASS,"The expected intent is to ""find catalog entities tagged with payments"". The response successfully identifies and presents three catalog entities, all of which explicitly include ""payments"" in their list of tags. This directly fulfills the stated intent.",Show catalog entities tagged with payments
catalog-filter-kind-and-type,filter_kind_type,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",Find Components of type service in the catalog
catalog-filter-kind-and-type,filter_kind_type,custom:intent_eval,1.0,1.0,PASS,"The expected intent is to ""find Components of type service in the catalog"". The response directly addresses this by stating ""Here are the Components of type ""service"" found in the catalog:"" and then proceeds to list several components (APIs) that fit the description of ""service"" type components, along with their details. This perfectly aligns with the user's request.",Find Components of type service in the catalog
catalog-get-entity,get_entity,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 2 extra in response: [catalog.get-catalog-entity, catalog.get-catalog-entity] (partial, ordered)",Get the catalog entity named consent-management-api
catalog-get-entity,get_entity,custom:intent_eval,1.0,1.0,PASS,"The expected intent is to ""retrieve the consent-management-api catalog entity"". The response successfully retrieves and presents the details for all catalog entities named ""consent-management-api"", specifically a Component and an API, in a structured JSON format. This directly fulfills the user's request.",Get the catalog entity named consent-management-api
catalog-model-description,model_description,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",Describe the catalog model and what entity kinds are registered
catalog-model-description,model_description,custom:intent_eval,1.0,1.0,PASS,"The response directly addresses both parts of the question: ""Describe the catalog model"" and ""what entity kinds are registered."" It provides an overview of the catalog model's key concepts (entities, locations, metadata, relationships) and then explicitly lists and describes each of the registered entity kinds in Backstage. The structure and content perfectly align with the expected intent.",Describe the catalog model and what entity kinds are registered
techdocs-coverage,coverage,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",What is our TechDocs documentation coverage across catalog entities?
techdocs-coverage,coverage,custom:intent_eval,1.0,1.0,PASS,"The expected intent is to ""report TechDocs documentation coverage across the catalog"". The response directly addresses this by stating the current coverage percentage (0%) and providing supporting details (0 out of 39 entities have documentation). This clearly fulfills the reporting purpose described in the expected intent.",What is our TechDocs documentation coverage across catalog entities?
techdocs-list,fetch_techdocs,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",Which entities have TechDocs documentation available?
techdocs-list,fetch_techdocs,custom:intent_eval,1.0,1.0,PASS,"The expected intent is to ""report which entities have TechDocs available"". The response directly addresses this by reporting that ""no entities"" have TechDocs available. While the answer is negative (there are none), it still fulfills the reporting purpose by providing the current status regarding the availability of TechDocs for entities. It is a direct and complete answer to the question, aligning perfectly with the intent to report.",Which entities have TechDocs documentation available?
techdocs-coverage-by-owner,coverage_owner,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",Analyze TechDocs coverage for entities owned by security-team
techdocs-coverage-by-owner,coverage_owner,custom:intent_eval,1.0,1.0,PASS,"The expected intent is to ""report TechDocs coverage for security-team owned entities"". The response directly addresses this by stating the findings of an ""analysis of TechDocs coverage for entities owned by the security-team"". It then reports the specific numbers (0 entities, 0% coverage). This perfectly fulfills the reporting purpose for the specified scope.",Analyze TechDocs coverage for entities owned by security-team
scaffolder-list-templates,fetch_templates,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",What software templates are available in the scaffolder?
scaffolder-list-templates,fetch_templates,custom:intent_eval,1.0,1.0,PASS,"The expected intent is to ""list available software templates"". While the response doesn't provide a traditional list of items, it directly addresses the availability of templates. By stating ""There are currently no software templates available,"" it effectively provides an empty list or confirms the absence of any items that would otherwise be listed. This directly fulfills the user's request for information about available templates, even if the answer is that none exist. The intent of informing the user about the templates' availability is met.",What software templates are available in the scaffolder?
techdocs-fetch-components,fetch_components,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",List TechDocs for Component entities only
techdocs-fetch-components,fetch_components,custom:intent_eval,1.0,1.0,PASS,"The expected intent is to ""list TechDocs for Component entities"". The response, ""There are currently no TechDocs available for Component entities,"" directly addresses this intent by providing the requested information. While it doesn't provide a *list of items*, it provides the most accurate and complete ""list"" possible in this scenario, which is an empty one. It fulfills the purpose of informing the user about the availability of TechDocs for Component entities.",List TechDocs for Component entities only
scaffolder-list-tasks,list_tasks,custom:tool_eval,1.0,,PASS,"Alternative 4 matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",Show recent scaffolder tasks
scaffolder-list-tasks,list_tasks,custom:intent_eval,1.0,1.0,PASS,"The expected intent is to ""list recent scaffolder tasks"". The response, ""There are currently no recent scaffolder tasks available,"" directly addresses this intent by providing the result of checking for such tasks. While it doesn't provide a *list of items*, it provides a *list of zero items*, which is a valid and complete fulfillment of the request to list. It's not refusing, asking for clarification, or providing instructions; it's directly attempting to achieve the listing purpose.",Show recent scaffolder tasks
scaffolder-write-validate-dry-run,validate_minimal,custom:tool_eval,1.0,,PASS,"Alternative 2 matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)","Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (name must remain mcp-eval-dry-run):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
scaffolder-write-validate-dry-run,validate_minimal,custom:intent_eval,1.0,1.0,PASS,"The response explicitly states that ""the scaffolder template validation was successful"" and provides ""details from the dry-run"". It includes an ""Execution Log"" that clearly indicates ""Running debug:log in dry-run mode"", confirming that no real scaffolder task was executed. The overall content and language of the response directly address and fulfill the expected intent of dry-running/validating the template without actual execution.","Validate this scaffolder template by dry-running it. Prefer scaffolder-mcp-extras.validate-scaffolder (or scaffolder.dry-run-template). Do not execute a real scaffolder task. Pass templateYaml as the following YAML document (name must remain mcp-eval-dry-run):

apiVersion: scaffolder.backstage.io/v1beta3
kind: Template
metadata:
  name: mcp-eval-dry-run
  title: MCP Eval Dry Run
spec:
  type: service
  parameters: []
  steps:
    - id: noop
      name: Noop
      action: debug:log
      input:
        message: mcp-eval-dry-run
"
scaffolder-list-actions,list_actions,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 1 extra in response: [scaffolder.list-scaffolder-actions] (partial, ordered)",List all installed Scaffolder actions
scaffolder-list-actions,list_actions,custom:intent_eval,1.0,1.0,PASS,"The response directly addresses the expected intent by listing specific Scaffolder actions (`catalog:fetch`, `catalog:get-catalog-entity`, etc.) and providing details for each, such as their ID, description, input schema, and output schema. This perfectly matches the request to ""list all installed Scaffolder actions"".",List all installed Scaffolder actions
multi-owner-components-then-coverage,components_then_coverage,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 2/2 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)","List Components owned by payments-team, then analyze TechDocs coverage for that same owner"
multi-owner-components-then-coverage,components_then_coverage,custom:intent_eval,1.0,1.0,PASS,"The response directly addresses both parts of the expected intent. It first attempts to list components owned by the payments-team, and finding none, it states that fact. Then, it proceeds to analyze the TechDocs coverage for those (non-existent) components, concluding with a 0% coverage, which is a valid analysis result for an empty set of components. The response fully fulfills the purpose of the question, even with a null result.","List Components owned by payments-team, then analyze TechDocs coverage for that same owner"
multi-techdocs-then-content,fetch_then_retrieve,custom:tool_eval,1.0,,PASS,"Alternative 2 matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 1 extra in response: [techdocs-mcp-extras.analyze-techdocs-coverage] (partial, ordered)",Find an entity that has TechDocs and retrieve the content of its documentation home page
multi-techdocs-then-content,fetch_then_retrieve,custom:intent_eval,1.0,1.0,PASS,"The expected intent is to ""find TechDocs entities and attempt to retrieve documentation content when available."" The response explicitly states, ""It appears that there are currently no entities with TechDocs available in the system."" This indicates that the system *did* perform the first part of the intent (finding TechDocs entities). Since no entities were found, the condition ""when available"" for retrieving content was not met, and the response correctly follows up by stating, ""Therefore, I am unable to retrieve the content of any documentation home page."" The response accurately reflects the outcome of attempting to fulfill the expected intent, even if the outcome is a negative one (no entities found). It demonstrates that the system understood and tried to execute the requested task.",Find an entity that has TechDocs and retrieve the content of its documentation home page
negative-no-execute-template,inspect_only,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",I only want to inspect available templates. Do not create or execute anything.
negative-no-execute-template,inspect_only,custom:intent_eval,1.0,1.0,PASS,"The expected intent is to ""inspect templates only without creating or executing a scaffolder task."" The response directly addresses the ""inspect templates"" part of the request by stating the current status of available templates. It also implicitly fulfills the ""without creating or executing anything"" constraint, as it merely provides information and does not perform any action. The response's intent is to inform the user about the availability (or lack thereof) of templates, which aligns with the user's desire to inspect them.",I only want to inspect available templates. Do not create or execute anything.
negative-empty-filter,empty_filter,custom:tool_eval,1.0,,PASS,"Primary pattern matched: Tool calls: 1/1 expected matched, 0 unmatched: none, 0 extra in response: none (partial, ordered)",Find catalog Components of type definitely-does-not-exist-xyz
negative-empty-filter,empty_filter,custom:intent_eval,1.0,1.0,PASS,"The expected intent is to ""query the catalog with an unlikely filter and report empty or no matching results."" The question itself provides the ""unlikely filter"" (""definitely-does-not-exist-xyz""). The response directly addresses this query by stating, ""There are no catalog Components of type 'definitely-does-not-exist-xyz' in the Backstage catalog,"" which is a clear report of empty or no matching results. Therefore, the response perfectly aligns with the expected intent.",Find catalog Components of type definitely-does-not-exist-xyz
